County,Contractor_Name,Phone,Website,Notes
Alameda,Alameda County Social Services Agency,510-271-9100,,Primary county agency
Alameda,Bananas Inc.,510-658-7353,https://www.bananasinc.org,Also provides CCR&R services
Alameda,Hively,925-417-8733,https://behively.org,Formerly CCFC
Alameda,Community Child Care Council (4Cs) of Alameda County,510-582-2182,https://www.4c-alameda.org,Also CCR&R
Alameda,Davis Street Family Resource Center,510-347-4620,https://davisstreet.org,
Contra Costa,CocoKids,925-676-5442,https://www.cocokids.org,CCR&R and APP contractor
Fresno,Central Valley Children's Services Network,559-456-1100,https://www.cvcsn.org,
Kern,Community Connection for Child Care,661-861-5200,https://www.kcsos.kern.org,County Office of Education
Los Angeles,Connections for Children,310-452-3734,https://www.connectionsforchildren.org,Westside/South Bay
Los Angeles,Crystal Stairs Inc.,323-421-2679,https://www.crystalstairs.org,Largest LA contractor
Los Angeles,Drew Child Development Corporation,323-249-2950,https://www.drewcdc.org,
Los Angeles,Options for Learning,626-856-5900,https://www.optionsforlearning.org,San Gabriel Valley
Los Angeles,Pathways LA,213-427-2700,https://www.pathwaysla.org,Metro LA
Los Angeles,Child Care Resource Center (CCRC),818-717-1000,https://www.ccrcla.org,San Fernando Valley/Antelope
Orange,Children's Home Society of California,714-543-2273,https://www.chs-ca.org,
Orange,Orange County Department of Education,714-966-4000,https://www.ocde.us,
Riverside,Riverside County Office of Education,951-826-6608,https://www.rcoe.us,Serves 10000+ children
Sacramento,Child Action Inc.,916-361-0511,https://www.childaction.org,Also CCR&R
San Bernardino,Child Care Resource Center (CCRC),909-384-1488,https://www.ccrcla.org,Same org as LA North
San Diego,Child Development Associates (CDA),619-427-4411,https://cdasd.org,Primary SD contractor
San Francisco,Children's Council of San Francisco,415-343-3300,https://www.childrenscouncil.org,CCR&R and APP
San Joaquin,San Joaquin County Office of Education,209-468-4800,https://www.sjcoe.org,
San Mateo,4Cs of San Mateo County,650-517-1400,https://www.sanmateo4cs.org,CCR&R and APP
Santa Clara,Choices for Children,408-297-3295,https://www.choices4children.org,
Santa Clara,Go Kids Inc.,408-843-9006,https://www.gokidsinc.org,
Santa Clara,Santa Clara County Social Services Agency,408-491-6737,https://www.sccgov.org,County agency
Solano,Child Start Inc.,707-864-6641,https://www.childstartinc.org,
Sonoma,Community Child Care Council (4Cs) of Sonoma County,707-544-3077,https://www.sonoma4cs.org,
Stanislaus,Child Care Resource & Referral (Stanislaus),209-558-7600,,
Tulare,Tulare County Office of Education,559-733-6300,https://www.tcoe.org,
Ventura,Child Development Resources of Ventura County,805-485-7878,https://cdrv.org,Also CCR&R
