Agency_Name,Agency_Type,URL,Phone,Description,Last_Verified
California Department of Social Services (CDSS),State,https://www.cdss.ca.gov,916-651-8848,Main state agency for childcare subsidies and licensing,2026-02
CDSS Child Care Programs,State,https://www.cdss.ca.gov/inforesources/child-care-and-development,,Childcare subsidy information and resources,2026-02
CDSS CalWORKs Child Care,State,https://www.cdss.ca.gov/inforesources/calworks-child-care,,CalWORKs Stages 1-3 information,2026-02
CDSS Regional Market Rate Survey,State,https://www.cdss.ca.gov/inforesources/child-care-and-development/regional-market-rate-survey,,Provider reimbursement rate information,2026-02
CDSS Provider Resources,State,https://www.cdss.ca.gov/inforesources/child-care-and-development/provider-resources,,Information for childcare providers,2026-02
Community Care Licensing Division (CCLD),State,https://www.ccld.dss.ca.gov/carefacilitysearch/,800-822-8490,Provider license lookup and verification,2026-02
California Department of Education (CDE),State,https://www.cde.ca.gov,916-322-6233,Education oversight including preschool,2026-02
CDE Early Education Division,State,https://www.cde.ca.gov/sp/cd/,,State Preschool and early learning programs,2026-02
CDE CSPP Information,State,https://www.cde.ca.gov/sp/cd/ci/cspp.asp,,California State Preschool Program details,2026-02
CDE Head Start Collaboration Office,State,https://www.cde.ca.gov/sp/cd/re/hscollab.asp,916-263-1718,Coordinates Head Start with state agencies,2026-02
CDE School Directory,State,https://www.cde.ca.gov/schooldirectory/,,Find public schools including TK programs,2026-02
CDE Homeless Education,State,https://www.cde.ca.gov/sp/hs/,,McKinney-Vento Act information,2026-02
California Department of Public Health (CDPH),State,https://www.cdph.ca.gov,916-558-1784,Immunization requirements for childcare,2026-02
CDPH Immunization Branch,State,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/immunize.aspx,,Childhood immunization information,2026-02
CDPH Childcare Immunizations,State,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/School/childcare-immunizations.aspx,,Childcare-specific vaccine requirements,2026-02
CDPH Medical Exemptions,State,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/School/laws-exemptions.aspx,,Vaccine medical exemption and laws information,2026-02
Department of Developmental Services (DDS),State,https://www.dds.ca.gov,,Services for individuals with developmental disabilities,2026-02
DDS Regional Center Listings,State,https://www.dds.ca.gov/rc/listings/,,Find your local Regional Center,2026-02
California Franchise Tax Board (FTB),State,https://www.ftb.ca.gov,,State tax credits including childcare credits,2026-02
FTB Child Care Credit,State,https://www.ftb.ca.gov/file/personal/credits/child-and-dependent-care-expenses-credit.html,,California child care tax credit info,2026-02
First 5 California,State,https://www.first5california.com,,Early childhood resources and programs,2026-02
California Children and Families Commission (CCFC),State,https://www.ccfc.ca.gov,,First 5 policy and research,2026-02
State Council on Developmental Disabilities (SCDD),State,https://scdd.ca.gov,,Advocacy for people with developmental disabilities,2026-02
Office of Head Start (OHS),Federal,https://acf.gov/ohs,,Federal Head Start administration,2026-02
ECLKC Head Start Center Locator,Federal,https://eclkc.ohs.acf.hhs.gov/center-locator,,Find local Head Start programs,2026-02
Head Start Performance Standards,Federal,https://eclkc.ohs.acf.hhs.gov/policy/45-cfr-chap-xiii,,Federal Head Start regulations,2026-02
HHS Poverty Guidelines,Federal,https://aspe.hhs.gov/topics/poverty-economic-mobility/poverty-guidelines,,Federal Poverty Level used for eligibility,2026-02
IRS Forms and Publications,Federal,https://www.irs.gov/forms-instructions,,Federal tax forms including Form 2441,2026-02
U.S. Census Bureau Geocoder,Federal,https://geocoding.geo.census.gov/geocoder/,,Address geocoding service,2026-02
Childcare.gov,Federal,https://childcare.gov,,Federal childcare resource portal,2026-02
Vaccines.gov,Federal,https://www.vaccines.gov,,Find vaccination locations,2026-02
HRSA Health Center Locator,Federal,https://findahealthcenter.hrsa.gov,,Find federally qualified health centers,2026-02
Military OneSource,Federal,https://www.militaryonesource.mil,800-342-9647,Resources for military families,2026-02
MilitaryChildCare.com,Federal,https://militarychildcare.csd.disa.mil,,Military childcare registration and search,2026-02
