name,counties_served,phone,address,website
Alta California Regional Center,"Alpine, Colusa, El Dorado, Nevada, Placer, Sacramento, Sierra, Sutter, Yolo, Yuba",916-978-6400,"4151 E Commerce Way, Suite 100, Sacramento, CA 95834",https://www.altaregional.org
Central Valley Regional Center,"Fresno, Kings, Madera, Mariposa, Merced, Tulare",559-276-4300,"4615 North Marty Avenue, Fresno, CA 93722",https://www.cvrc.org
Eastern Los Angeles Regional Center,Eastern Los Angeles County,626-299-4700,"1000 South Fremont Avenue, Alhambra, CA 91802",https://www.elarc.org
Far Northern Regional Center,"Butte, Glenn, Lassen, Modoc, Plumas, Shasta, Siskiyou, Tehama, Trinity",530-222-4791,"1900 Churn Creek Road, Suite 114, Redding, CA 96002",https://www.farnorthernrc.org
Frank D. Lanterman Regional Center,"Central Los Angeles (Glendale, Hollywood-Wilshire, Pasadena health districts)",213-383-1300,"3303 Wilshire Boulevard, Suite 700, Los Angeles, CA 90010",https://www.lanterman.org
Golden Gate Regional Center,"Marin, San Francisco, San Mateo",415-546-9222,"1355 Market Street, Suite 220, San Francisco, CA 94103",https://www.ggrc.org
Harbor Regional Center,"South Los Angeles, Long Beach area",310-540-1711,"21231 Hawthorne Boulevard, Torrance, CA 90503",https://www.harborrc.org
Inland Regional Center,"Riverside, San Bernardino",909-890-3000,"1365 S. Waterman Ave, San Bernardino, CA 92408",https://www.inlandrc.org
Kern Regional Center,"Inyo, Kern, Mono",661-327-8531,"3200 North Sillect Avenue, Bakersfield, CA 93308",https://www.kernrc.org
North Bay Regional Center,"Napa, Solano, Sonoma",707-256-1100,"610 Airpark Road, Napa, CA 94558",https://www.nbrc.net
North Los Angeles County Regional Center,Northern Los Angeles County,818-778-1900,"9200 Oakdale Ave, Suite 100, Chatsworth, CA 91311",https://www.nlacrc.org
Redwood Coast Regional Center,"Del Norte, Humboldt, Lake, Mendocino",707-445-0893,"1116 Airport Park Blvd, Ukiah, CA 95482",https://www.redwoodcoastrc.org
Regional Center of the East Bay,"Alameda, Contra Costa",510-618-6100,"500 Davis Street, Suite 100, San Leandro, CA 94577",https://www.rceb.org
Regional Center of Orange County,Orange,714-796-5100,"1525 North Tustin Ave, Santa Ana, CA 92705",https://www.rcocdd.com
San Andreas Regional Center,"Monterey, San Benito, Santa Clara, Santa Cruz",408-374-9960,"6203 San Ignacio Avenue, Suite 200, San Jose, CA 95119",https://www.sanandreasregional.org
San Diego Regional Center,"Imperial, San Diego",858-576-2996,"4355 Ruffin Road, Suite 200, San Diego, CA 92123",https://www.sdrc.org
San Gabriel/Pomona Regional Center,"Eastern Los Angeles County (Pomona, El Monte, Glendora, Monrovia area)",909-620-7722,"75 Rancho Camino Drive, Pomona, CA 91766",https://www.sgprc.org
South Central Los Angeles Regional Center,South Central Los Angeles County,213-744-7000,"2500 S. Western Avenue, Los Angeles, CA 90018",https://www.sclarc.org
Tri-Counties Regional Center,"San Luis Obispo, Santa Barbara, Ventura",805-962-7881,"520 East Montecito Street, Santa Barbara, CA 93103",https://www.tri-counties.org
Valley Mountain Regional Center,"Amador, Calaveras, San Joaquin, Stanislaus, Tuolumne",209-473-0951,"702 North Aurora Street, Stockton, CA 95202",https://www.vmrc.net
Westside Regional Center,Western Los Angeles County,310-258-4000,"5901 Green Valley Circle, Suite 320, Culver City, CA 90230",https://www.westsiderc.org
